tenure_months,monthly_charges,support_tickets,contract_type,region,churned
9,116.12,6,one-year,south,1
45,43.72,0,one-year,north,0
35,74.49,2,two-year,west,0
31,35.92,5,month-to-month,west,0
65,40.44,7,two-year,south,0
57,78.76,5,two-year,south,0
66,29.15,4,two-year,west,0
19,51.08,6,two-year,north,0
14,26.81,5,two-year,east,0
12,42.64,2,two-year,west,0
17,113.67,2,month-to-month,east,1
45,109.69,0,two-year,west,0
24,49.15,4,two-year,south,0
6,80.85,6,month-to-month,east,1
23,76.45,3,two-year,west,0
56,87.01,9,one-year,north,1
7,117.41,1,month-to-month,east,1
12,61.72,6,two-year,south,0
44,89.16,7,two-year,north,0
66,104.66,2,one-year,south,0
70,36.37,3,two-year,east,0
46,54.72,1,month-to-month,east,0
31,20.59,7,month-to-month,east,1
19,78.76,3,one-year,north,0
60,103.95,6,,north,0
63,40.64,0,one-year,east,0
42,64.51,9,one-year,east,1
2,66.85,7,month-to-month,east,1
56,68.83,8,one-year,north,0
37,82.77,4,two-year,south,0
19,49.63,2,two-year,south,0
40,94.23,5,one-year,south,0
48,103.78,4,month-to-month,north,0
52,110.52,3,one-year,west,0
11,34.19,3,month-to-month,south,1
12,117.9,7,one-year,south,1
66,62.54,4,month-to-month,north,0
44,26.27,0,two-year,south,0
45,76.75,7,month-to-month,east,1
69,110.87,2,one-year,north,0
39,76.5,6,one-year,west,0
44,73.04,0,month-to-month,south,0
48,75.49,6,one-year,south,0
15,42.72,3,two-year,north,0
33,90.91,3,two-year,west,0
15,93.56,9,two-year,north,1
65,75.06,1,two-year,north,0
70,37.13,3,two-year,west,0
31,24.72,0,month-to-month,south,0
18,62.6,1,two-year,south,0
44,100.41,0,one-year,north,0
68,114.8,7,month-to-month,east,1
32,45.46,3,two-year,west,0
57,31.36,0,one-year,north,0
49,103.62,9,,east,1
44,119.45,7,two-year,west,0
51,104.3,2,two-year,west,0
67,27.59,5,two-year,south,0
47,92.72,5,two-year,west,0
1,53.55,7,one-year,south,1
19,92.7,2,one-year,west,0
34,55.68,9,two-year,south,0
26,97.43,9,two-year,north,1
31,107.28,2,two-year,north,0
32,55.04,8,two-year,west,0
42,108.37,7,two-year,east,0
27,20.72,7,one-year,west,0
22,78.68,2,one-year,east,0
10,112.12,9,month-to-month,south,1
60,55.7,6,two-year,north,0
70,22.31,2,two-year,east,0
7,59.96,3,two-year,east,0
17,80.1,1,,east,0
35,73.69,0,two-year,east,0
63,60.53,5,month-to-month,north,0
,82.63,5,one-year,west,0
41,25.6,9,,east,0
27,34.27,1,one-year,east,0
43,43.0,9,one-year,west,0
40,85.16,8,two-year,west,0
33,20.9,7,month-to-month,east,1
52,95.66,1,month-to-month,south,0
34,113.97,5,two-year,south,0
21,72.85,5,two-year,south,0
50,66.01,5,,north,1
52,87.42,5,month-to-month,south,0
29,23.07,0,one-year,west,0
42,95.92,4,one-year,west,0
35,115.43,2,,east,0
32,36.16,9,two-year,west,0
47,24.62,7,month-to-month,west,0
